index,gender
Sallie Wilson,female
Dimitri Romanoff,male
Karin von Aroldingen,female
Katherine Litz,female
Loren Hightower,male
Stanley Williams,male
Hans Brenaa,male
Andre Eglevsky,male
Georgina Parkinson,female
Viveka Ljung,female
Enrique Martinez,male
Oleg Briansky,male
Erik Bruhn,male
Mary Skeaping,female
Elena Tchernichova,female
Salvatore Aiello,male
Mikhail Baryshnikov,male
John Taras,male
Elizabeth Schooling,female
Diana Joffe,female
Julie Lincoln,female
Michael Somes,male
Kevin McKenzie,male
Frederic Franklin,male
Takako Asakawa,female
Susan Jones,female
Tina Fehlandt,female
Reid Anderson,male
Victoria Simon,female
Sir Anthony Dowell,male
Maria Calegari,female
Jane Burn,female
Jean-Pierre Frohlich,male
Christopher Newton,male
Jane Bourne,female
Elaine Kudo,female
Merrill Ashley,male
Patrick Corbin,male
Amanda McKerrow,female
Roslyn Anderson,female
Darla Hoover,female
Gerard Charles,male
Grant Coyle,male
Ben Huys,male
Richard Tanner,male
Irina Kolpakova,female
Alexei Ratmansky,male
Stacy Caddell,female
Sebastien Marcovici,male
Anne Holm-Jensen Peyk,female
Twyla Tharp,female
Daniel de Andrade,male
Yurek Lazowsky,male
Donald Mahler,male
James Mitchell,male
Wendy Walker,female
Lorca Massine,male
Kenneth MacMillan,male
Faith Worth,female
Anna Markard,female
Wendy Ellis Somes,female
Christopher Carr,male
John Gardner,male
Kevin Haigen,male
Janie Taylor,female
Sara Rudner,female
Jenny Tattersall,female
Alexandre Benois,male
Victor Hughes,male
Kara Chan,female
Gian Francesco Malipiero,male
K Konstantinov,male
Jarold Byrns,male
Vittorio Rieti,male
Benjamin Britten,male
Mois Zlatkin,male
Leighton Lucas,male
Ottorino Respighi,male
Richard Mohaupt,male
Charles Koechlin,male
Antal Dorati,male
Eugene Fuerst,male
Constant Lambert,male
Hershy Kay,male
Joseph Levine,male
Rayburn Wright,male
Albert Boss,male
Richard Savage,male
Henri Busser,male
Howard Brubeck,male
John Lanchbery,male
Manuel Rosenthal,male
William Bolcom,male
Robert Rudolf,male
Elizabeth Meyers,female
William Brohn,male
Jack Elliott,male
Roger Desormiere,male
Robert Irving,male
Martin Yates,male
Judy Brown,female
Kurt-Heinz Stolze,male
Claude Debussy,male
Alexander Glazunov,male
Gordon Jones,male
Eugene Loring,male
Agnes de Mille,female
Anton Dolin,male
Michel Fokine,male
Antony Tudor,male
Andrée Howard,female
Bronislava Nijinska,female
Jose Fernandez,male
Adeline Genée,female
Adolph Bolm,male
Yurek Shabelevski,male
Mikhail Mordkin,male
Vania Psota,female
Leonide Massine,male
Simon Semenoff,male
David Lichine,male
George Balanchine,male
Argentinita,female
Catherine Littlefield,female
Jerome Robbins,male
Michael Kidd,male
Anatole Oboukhoff,male
Frederick Ashton,male
Herbert Ross,male
William Dollar,male
Jean Babilee,female
Carmelita Maracci,female
Roland Petit,male
Alicia Alonso,female
Edward Caton,male
Valerie Bettis,female
Harry Asmus,male
Robert Joffrey,male
Job Sanders,male
George Skibine,male
Alfred Rodrigues,male
Fernand Nault,male
Anna Sokolow,female
Valentina Pereyaslavec,female
John Butler,male
Birgit Cullberg,female
Serge Lifar,male
Dania Krupska,female
Viktor Rona,male
Lawrence Gradus,male
Harald Lander,male
August Bournonville,male
Richard Wagner,male
David Shields,male
Bentley Stone,male
Ron Sequio,male
Glen Tetley,male
Todd Bolender,male
Eliot Feld,male
Michael Smuin,male
David Blair,male
Arthur Saint-Leon,male
Jean Coralli,female
Dennis Nahat,male
Lew Christensen,male
Hans van Manen,male
Steven-Jan Hoff,male
José Limón,male
Erin Martin,female
Alvin Ailey,male
James Moore,male
William Carter,male
Keith Lee,male
Robert Gladstein,male
Ulf Gadd,male
Natalia Makarova,female
David Holmes,male
Victor Gsovsky,male
Peter van Dijk,male
Rudi van Dantzig,male
Tomm Ruud,male
Lar Lubovitch,male
Peter Darrell,male
John Neumeier,male
Robert Weiss,male
Asaf Messerer,male
Leonid Jacobsen,male
Alberto Alonso,male
Manuela Vargas,female
John Cranko,male
Laszlo Seregi,male
Alberto Mendez,male
Dalal Achcar,female
Igor Tchernichov,male
Yuri Grigorovitch,male
Ben Stevenson,male
La Meri,female
Rudolf Nureyev,male
Cynthia Gregory,female
Peter Gennaro,male
John Meehan,male
Daniel Levans,male
Vincente Nebrada,male
Walter Bourke,male
Marius Petipa,male
Martine van Hamel,female
Vaslav Nijinsky,male
Paul Taylor,male
Choo San Goh,male
Peter Anastos,male
Merce Cunningham,male
Lynne Taylor-Corbett,female
Jiří Kylián,male
John McFall,male
Michael Vernon,male
Fernando Bujones,male
Karole Armitage,female
David Parsons,male
Clark Tippet,male
Mark Morris,male
Martha Clarke,female
Martha Graham,female
Vladimir Vasiliev,male
Mats Ek,male
John Selya,male
Ulysses Dove,male
Christian Holder,male
James Kudelka,male
Jean-Christophe Maillot,male
Ronald Hynd,male
Nacho Duato,male
Robert Hill,male
Natalie Weir,female
Kirk Peterson,male
Stanton Welch,male
Christian Spuck,male
Anna-Marie Holmes,female
William Forsythe,male
Trey McIntyre,male
Christopher Wheeldon,male
Kurt Jooss,male
Peter,male
Jorma Elo,male
Benjamin Millepied,male
Lauri Stallings,female
Craig Salstein,male
Aszure Barton,female
Demis Volpi,male
Susan Jaffe,female
Marcelo Gomes,male
Liam Scarlett,male
Jessica Lang,female
Wayne McGregor,male
Michelle Dorrance,female
Cathy Marston,female
James Whiteside,male
Gemma Bond,female
Alexandre Dumas,male
Lev Ivanov,male
Pilar Lopez,female
John Ward,male
Jules Perrot,male
Alexander Gorsky,male
Robert Barnett,male
Scott Rink,male
Ann Reinking,female
Felix Blaska,male
Ninette de Valois,female
Aaron Copland,male
Darius Milhaud,male
Maurice Ravel,male
Domenico Cimarosa,male
Robert Schumann,male
Gustav Mahler,male
Franz Schubert,male
Peter Ludwig Hertel,male
Adolphe Adam,male
Enrique Granados,male
Henry Brant,male
Ernest Chausson,male
Kurt Weill,male
Arthur Honegger,male
Dora Bright,female
Alexander Mosolov,male
Frédéric Chopin,male
Sergei Prokofiev,male
Raymond Scott,male
Johann Strauss,male
Jacques Offenbach,male
Césare Pugni,male
Antonín Dvořák,male
Carl Maria Von Weber,male
Pyotr Ilyich Tchaikovsky,male
Léo Delibes,male
Silvestre Revueltas,male
Igor Stravinsky,male
Arnold Schoenberg,male
Vincenzo Bellini,male
Nikolai Rimsky-Korsakov,male
Richard Strauss,male
Modest Mussorgsky,female
Gioacchino Rossini,male
Charles Lecocq,male
Frederick Delius,male
Manuel De Falla,male
David Guion,male
Leonard Bernstein,male
Ludwig Van Beethoven,male
Christoph Willibald Gluck,male
Lukas Foss,male
Wolfgang Amadeus Mozart,male
Henryk Wieniawski,male
Morton Gould,male
Norman Dello Joio,male
Sergei Rachmaninoff,male
William Schuman,male
Nicholas Tcherepnine,male
Giacomo Meyerbeer,male
Bela Bartok,male
Louis Gruenberg,male
Cesar Franck,male
Joaquin Turina,male
Jean Francaix,female
Johannes Brahms,male
Johann Sebastian Bach,male
Amadeo Roldan,male
Virgil Thomson,male
George Antheil,male
Raffaello De Banfield,male
Paul Ramseier,male
Alex North,male
Henri Sauguet,male
Richard Banks,male
John Field,male
Jack Montrose,male
Robert McBride,male
Byron Schiffman,male
(Alexis) Emmanuel Chabrier,male
Denis Aplvor,male
Donald Marsh,male
Ted Macero,male
Gian Carlo Menotti,male
Stan Kenton,male
Kenneth Schermerhorn,male
Ture Rangstrom,male
Marguerite Keogh,female
Knudaage Riisager,male
Hildin Rosenberg,male
Dave Brubeck,male
Aram Khachaturian,male
Paul Creston,male
Jacques Ibert,male
Felix Mendelssohn,male
Johanne Svenson,female
Edvard Helsted,male
Holger Paulli,male
Alexander Scriabin,male
Ralph Vaughan Williams,male
Nelson Keyes,male
Eva Wainless,female
Francis Poulenc,male
Hermann Lovenskjold,male
Max Bruch,male
Trude Rittman,female
Ernest Krenek,male
Laurence Rosenthal,male
Bernd Alois Zimmerman,male
Mordecai Seter,male
Timothy Thompson,male
Dimitri Shostakovich,male
Bohuslav Martinu,male
Frank Martin,male
Daniel-Francois Auber,male
Paul Hindemith,male
Jose Pablo Moncayo,male
Harold Farberman,male
Ludwig Minkus,male
Henry Purcell,male
Gwendolyn Watson,female
Duke Ellington,male
Alan Hovhaness,male
Cole Porter,male
Gunther Schuller,male
Karel Husa,female
Boris Asafiev,male
Claus Ogerman,male
Jan Boerman,female
Charles Ives,male
Craig Steven,male
Hans Werner Henze,male
Samuel Barber,male
Craig Steven Shuler,male
Malcolm Arnold,male
Hans Christian Lumbye,male
Gennadi Banshchikov,male
Georges Bizet,male
Frank Sinatra,male
Joseph Lamb,male
Harvey Schmidt,male
Gabriel Faure,male
Friedrich Burgmueller,male
Ernesto Nazareth,male
Hector Berlioz,male
Anton Webern,male
Mikhail Glinka,male
Riccardo Drigo,male
"Ibn-el-Sared, 1220 A.D.",male
Edvard Grieg,male
Louis Moreau Gottschalk,male
Irving Berlin,male
Teresa Carreno,female
Erik Satie,male
Prince Oldenbourg,male
George Frederic Handel,male
William Christian Holm,male
Gordon Crosse,male
John Cage,male
Robert Prince,male
Toru Takemitsu,male
Sebastian Bach,male
George Calusdian,male
Gaetano Donizetti,male
Ferdinand Herold,male
Andrew Lloyd Webber,male
George Perle,male
Edward Elgar,male
Virgil Thomson Etudes,male
Padre Antonio Soler,male
Philip Glass,male
Celtic tunes,various
Ed Waesche,male
Dick Hyman,male
Jerome Kern,male
Terry Riley,male
Michel Colombier,male
Leoš Janáček,male
Edwin Robertson,male
Moondog,male
Robet Ruggieri,male
Jules Massenet,male
Jule Styne,female
Suite of Nineteenth Century American Favorites,various
Wynton Marsalis,male
Jean-Frey Rebel,male
Franz Liszt,male
Franz Lehár,male
Elliot B. Goldenthal,male
Steve Reich,male
Dmitry Polischuk,male
Ned Rorem,male
Hans Zimmer,male
Songs from The Great Depression,various
Colin McPhee,male
Minoru Miki,male
Richard Rodgers,male
John Corigliano,male
Lowell Liebermann,male
Edgar Meyer,male
Marvin Laird,male
George Harrison,male
Chris Theofanidis,male
John Adams,male
Luciano Berio,male
Frederic Cohen,male
Jacob Gade,male
Camille Saint-Saëns,female
Alexander Borodin,male
"Willy ""The Lion"" Smith",male
Giuseppe Verdi,male
Nico Muhly,male
Max Richter,male
Andrews Sisters,male
Johann Pachelbel,male
Danny Elfman,male
obert Schumann,male
David Lang,male
Domenico Scarlatti,male
Christian Kiss,male
Alessandro Marcello,male
John Philip Philip Sousa,male
Johan Halvorsen Passacaglia,male
Jean Sibelius,female
Johann Nepomuk Hummel,male
Fanny Mendelssohn Hensel,female
Leonid Desyatnikov,male
Dawn of Midi,female
The Beach Boys,male
Philip Feeney,male
Tony Bennett,male
John Powell,male
Joel Press,male
George Reidel,male
Billy Strayhorn,male
Franz Joseph Haydn,male
Percy Grainger,male
Charles Knox,male
Donald Knaack,male
Gavin Bryars,male
Carl Orff,male
Gary Chang,male
Niels Gade,male
Ferruccio Busoni,male
Astor Piazzola,male
Isaac Albeniz,male
Anonymous composer,unknown
Charles Nuitter,male
Rodion Schedrin,male
Victoria Bond,female
Jack Everly,male
Rudolph Barshai,male
Yannis Samprovalakis,male
John Morris,male
Gordon Harrell,male
Martha Johnson,female
Marc Blitzstein,male
Jean Rosenthal,female
Abe Feder,male
Ronald Bates,male
Jennifer Tipton,female
Peter Lawrence,male
Brad Fields,male
Thomas R. Skelton,male
Jo Mielziner,female
Nananne Porcher,female
Peggy Clark,female
Jerry Hochberg,male
Michael T. Ford,male
Gilbert V. Hemsley Jr.,male
Beverly Emmons,female
Nicholas Cernovitch,male
Tharon Musser,female
Hermann Sichter,male
Chenault Spence,male
George Bardyguine,male
John B. Read,male
Tony Tucci,male
Toshiro Ogawa,male
Gil Wechsler,male
David K.H. Elliott,male
Allen Lee Hughes,male
Howell Binkley,male
Phil Sandstrom,male
Steven Shelley,male
Joop Caboort,male
Goran Westrup,male
Todd Elmer,male
William H. Grant III,male
Craig Miller,male
Michael Simon,male
Karen DeFrancis,female
Dominique Drillot,female
Pat Collins,male
Duane Schuler,male
Brian MacDevitt,male
Robert Thomson,male
Randall G. Chiarelli,male
Lisa J. Pinkham,female
Michael Chybowski,male
Clifton Taylor,male
Mark Stanley,male
Nicholas Phillips,male
Natasha Katz,female
Christopher Dennis,male
Roderick Murray,male
Ryan J. O'Gara,male
Brian Sciarra,male
Kees Tjebbes,male
Bonnie Beecher,female
Robert Wierzel,male
Michael Korsch,male
Nicole Pearce,female
Lucy Carter,female
Brandon Stirling Baker,male
Serena Wong,female
Jared French,male
Nicholas de Molas,male
Nadia Benois,female
Serge Soudeikine,male
Lucinda Ballard,female
Peter Cazalet,male
Sylvia Taalsohn Nolan,female
John Hambleton,male
Michel Baronov,male
Lee Simonson,male
Léon Bakst,male
Marcel Vertes,male
Alvin Colt,male
Motley,unknown
Mstislav Dobujinsky,male
Federico Rey,male
Nicholas Remisoff,male
Eugene Berman,male
Pavel Tchelitchev,male
Salvatore Pinto,male
Enid Gilbert,female
John Boyt,male
Zack Brown,male
David Ffolkes,male
Jean Cocteau,female
Robert Davison,male
Irene Sharaff,female
Stewart Chaney,male
Helene Pons,female
Saul Bolasni,male
Lemuel Ayres,male
Esteban Frances,male
William Pitkin,male
Roger Bezomes,male
Sven Erixon,male
Miles White,male
Florence Klotz,female
Per Falk,male
Ming Tyler Dick,unknown
Joseph Kaminski,male
Robert O'Hearn,male
Stanley Simmons,male
Rouben Ter-Arutunian,male
Santo Loquasto,male
Freddy Wittop,male
Marcos Paredes,male
Ann Roth,female
Frank Thompson,male
Linda Martin Moore,female
Karinska,female
Charles Tomlinson,male
Athena Kalimos,female
Kalinowski,unknown
Toer van Schayk,male
John Dayger,male
Peter Docherty,male
Susan Tammany,female
Michel,male
Nadine Baylis,female
Patricia Zipprodt,female
Salvador Fernandez,male
Nilson Penna,male
Willa Kim,female
Ray Delle Robbins,male
John Neumeler,male
Ezio Frigerio,male
Ramonda Gaetani,female
Georges Rouault,male
Sarah G. Conly,female
Theoni V. Aldredge,female
Gretchen Warren,female
Ben Shahn and Florence Klotz,male
Oscar de la Renta,male
Bob Crowley,male
Nicholas Georgiadis,male
Edward Gorey,male
Barry Kay,male
Yolanda Sonnabend,female
Judy Wirkula,female
Dain Marcus,male
Giorgio di Sant'Angelo,male
Alex Katz,male
Ivey Long,male
Jane Greenwood,female
Irving Milton Duke,male
Andre Levasseur,male
Gary Lisz,male
Isaac Mizrahi,male
Walter Nobbe,male
Karen Ek,female
Sophie Fedorovitch,female
Gianni Versace,male
Carmen Alie,female
Kors for Celine,female
Mark Adamo,male
Denis Lavoie,male
Ann Whitley,female
Catherine Zuber,female
Nicole Siggelkow,female
Stephen Galloway,male
Liz Prince,female
Hein Heckroth,male
Sandra Woodall,female
Holly Hynes,female
David Boechler,male
Dale Wibben,male
Ralph Rucci,male
April McCoy,female
Norma Kamali,female
Haydée Morales,female
Karen Young,female
Galina Solovyeva,female
Yannik Larivée,male
Natia Sirbiladze,female
Jürgen Rose,male
Richard Hudson,male
Katharina Schlipf,female
Paul Cox,male
Keso Dekker,male
Reid,male
Julia Trevelyan Oman,female
Roland-Manuel,male
Jérôme Kaplan,male
rag & bone,various
Moritz Junge,male
Mark Ryden,male
Linda Cho,female
Sarah Crowner,female
Robert Perdziola,male
Patrick Kinmonth,male
Bradon McDonald,male
Primadonna,various
Sylvie Rood,female
Larae Hascall,female
Harriet Designs,female
Boris Aronson,male
Sophie Harris,female
Roberto Montenegro,male
Julio Castellanos,male
Carlos Merida,male
Mariano Andreu,male
Pablo Picasso,male
Oliver Smith,male
Raoul Pene Du Bois,male
Raymond Breinin,male
Cecil Beaton,male
Leonor Fini,female
Georges Wakhevitch,male
Tom Keogh,male
Peter Larkin,male
Christian Berard,male
Rene Bouche,male
Kerstin Hedeby,female
Ann Folke,female
Leonard Baskin,male
Jack Brown after Fragonard,male
Jack Brown,male
Christina Giannini,female
Ming Cho Lee,male
Michael Annals,male
Rico LeBrun,male
Robin Wagner,female
David Walker,male
William Chappell,male
Carol V. Garner,female
Ben Shahn,male
Desmond Heeley,male
David Salle,male
ianni,unknown
Hugh Laing,male
PierLuigi Samaritani,male
Antoni Clave,male
Isamu Noguchi,male
Tony Straiges,male
Tony Walton,male
Jorge Gallardo,male
Paul Kelly,male
Susan Benson,female
Jean Dauberval,female
John Arnone,male
Dorothee Zippel,female
Chuck Close,male
Simon Pastukh,male
Ilya Utkin,male
George Tsypin,male
Françoise Gilot,female
Daniel Buren,male
llia Koo,female
Alder Jenkins,male
William Saroyan,male
Stèphane Mallarmé,male
Jean Louis Vaudoyer,female
Ramon Reed,male
Martinez Sierra,male
Jean Anouilh,female
Boris Kochno,male
Carson McCullers,male
Larry Gelbart,male
Théophile Gautier,male
Wendy Wasserstein,female
Adrian Piotrovsky,male
Shawn Stevens,male
Mary Kidd,female
I.A. Vsevolozhsky,male
Fyodor Lopukhov,male